yr,service,inci_id,calltime,case_id,callsource,nature,closecode,closed_as,secs_to_disp,secs_to_arrv,secs_to_close,disp,arrv,beat,priority,zip,primeunit,units_dispd,units_arrived
2015,LAW ,15063589,2015-03-19 15:26:58.000,,SELF,TRAFFIC STOP,ADVI,ADVISED,0.0,0.0,110,1,1,EP02,6,97401,1M13  ,1,1
2015,LAW ,15063591,2015-03-19 15:28:58.000,,PHONE,HARASSMENT,GOA ,GONE ON ARRIVAL,2453.0,3523.0,3625,1,1,EP05,4,97402,3E56  ,1,1
2015,LAW ,15063592,2015-03-19 15:31:25.000,1504701,PHONE,THEFT,REPT,REPORT TAKEN,,,558,0,0,EP05,9,97402,,0,0
2015,LAW ,15063593,2015-03-19 15:31:54.000,,PHONE,DISORDERLY SUBJECT,WARN,WARNING,1023.0,1031.0,1194,1,1,EP05,3,97402,3E56  ,1,1
2015,LAW ,15063596,2015-03-19 15:33:47.000,,SELF,TRAFFIC STOP,WARN,WARNING,0.0,0.0,173,1,1,EP05,6,97402,1E53  ,1,1
2015,LAW ,15063601,2015-03-19 15:39:08.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,504,1,1,EP03,6,97401,1M14  ,1,1
2015,LAW ,15063603,2015-03-19 15:40:58.000,,PHONE,ASSIST PUBLIC- POLICE,GOA ,GONE ON ARRIVAL,2454.0,2945.0,3253,1,1,EP02,8,97401,CAHOOT,1,1
2015,LAW ,15063607,2015-03-19 15:43:47.000,,E911,BEAT INFORMATION,INFO,INFORMATION ONLY,1504.0,,1603,1,0,EP02,5,97401,2E26  ,1,1
2015,LAW ,15063613,2015-03-19 15:51:09.000,,PHONE,BLOCKED ALLEY,DIS ,DISREGARD,,,1682,0,0,EP04,3,97405,,0,0
2015,LAW ,15063614,2015-03-19 15:51:21.000,,PHONE,ILLEGAL CAMPING,REL ,REFERRED TO OTHER AGENCY,,,802,0,0,EP05,5,97402,,0,0
2015,LAW ,15063620,2015-03-19 15:57:51.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,681,1,1,EP03,6,97401,1M12  ,1,1
2015,LAW ,15063621,2015-03-19 15:58:40.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,465,1,1,EP03,6,97405,1M13  ,1,1
2015,LAW ,15063622,2015-03-19 15:59:17.000,,SELF,TRAFFIC STOP,ADVI,ADVISED,0.0,0.0,536,1,1,EP03,6,97405,1M14  ,1,1
2015,LAW ,15063624,2015-03-19 16:02:15.000,,E911,DISORDERLY SUBJECT,ADVI,ADVISED,1742.0,2303.0,3572,1,1,EP06,3,97404,3E56  ,2,2
2015,LAW ,15063625,2015-03-19 16:02:20.000,1504703,SELF,DOG AT LARGE,REPT,REPORT TAKEN,0.0,0.0,6306,1,1,EP01,P,97401,2C82  ,2,2
2015,LAW ,15063628,2015-03-19 16:02:42.000,,PHONE,DOG AT LARGE,ADVI,ADVISED,,,1349,0,0,EP05,8,97402,AWO   ,0,0
2015,LAW ,15063631,2015-03-19 16:08:14.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,362,1,1,EP02,6,97401,1M14  ,1,1
2015,LAW ,15063635,2015-03-19 16:10:45.000,1504708,W911,MOTOR VEH ACC UNKNOWN INJ,REPT,REPORT TAKEN,109.0,637.0,11089,1,1,EP03,1,97405,3E36  ,3,3
2015,LAW ,15063636,2015-03-19 16:10:55.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,1.0,1.0,692,1,1,EP02,6,97401,1M12  ,1,1
2015,LAW ,15063639,2015-03-19 16:14:46.000,,PHONE,BEAT INFORMATION,INFO,INFORMATION ONLY,2850.0,2850.0,2852,1,1,EP05,5,97402,3E58  ,1,1
2015,LAW ,15063641,2015-03-19 16:15:45.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,501,1,1,EP02,6,97401,1M14  ,1,1
2015,LAW ,15063643,2015-03-19 16:17:54.000,,SELF,MOTOR VEH ACC NO INJURY,ASST,ASSISTED,0.0,0.0,641,1,1,EP02,1,97401,4F73  ,1,1
2015,LAW ,15063647,2015-03-19 16:18:59.000,,SELF,FOLLOW UP,FUP ,FOLLOW UP INVESTIGATION,0.0,0.0,837,1,1,EP02,P,97401,3F68  ,1,1
2015,LAW ,15063652,2015-03-19 16:19:53.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,546,1,1,EP02,6,97401,1M13  ,1,1
2015,LAW ,15063653,2015-03-19 16:19:23.000,1504705,RPTO,DOG AT LARGE,REPT,REPORT TAKEN,,,0,0,0,EP01,P,97401,2C82  ,0,0
2015,LAW ,15063656,2015-03-19 16:22:27.000,,W911,RECKLESS DRIVING,INFO,INFORMATION ONLY,,,215,0,0,EP01,P,97408,,0,0
2015,LAW ,15063657,2015-03-19 16:22:51.000,1504718,PHONE,VIOLATION OF RESTRAINING ORDER,ARR ,ARREST,12122.0,13886.0,22299,1,1,EP04,4,97402,4E42  ,2,2
2015,LAW ,15063659,2015-03-19 16:23:57.000,,E911,SMALL AIRCRAFT PROBLEM,RSLV,RESOLVED,46.0,543.0,5143,1,1,EP05,1,97402,3D13  ,1,1
2015,LAW ,15063662,2015-03-19 16:25:53.000,,SELF,ASSIST PUBLIC- POLICE,FIX ,FIX-IT TICKET,0.0,0.0,1586,1,1,EP01,P,97401,1M15  ,1,1
2015,LAW ,15063664,2015-03-19 16:27:45.000,,SELF,FOLLOW UP,FUP ,FOLLOW UP INVESTIGATION,0.0,0.0,790,1,1,EP05,P,97402,2Y47  ,2,2
2015,LAW ,15063665,2015-03-19 16:28:01.000,,PHONE,BEAT INFORMATION,INFO,INFORMATION ONLY,5006.0,5006.0,5009,1,1,EP04,5,97402,4E42  ,1,1
2015,LAW ,15063666,2015-03-19 16:28:54.000,,PHONE,LOCATION WANTED SUBJECT,UTL ,UNABLE TO LOCATE,426.0,1036.0,2096,1,1,EP05,3,97402,3E16  ,3,3
2015,LAW ,15063668,2015-03-19 16:35:42.000,,SELF,TRANSPORT,ASST,ASSISTED,0.0,0.0,1114,1,1,EP02,P,97401,CAHOOT,1,1
2015,LAW ,15063669,2015-03-19 16:37:01.000,,SELF,PATROL CHECK,PCHK,PATROL CHECK,0.0,0.0,568,1,1,EP02,6,97401,3F68  ,1,1
2015,LAW ,15063670,2015-03-19 16:37:04.000,,PHONE,CHECK WELFARE,ADVI,ADVISED,3440.0,4740.0,5173,1,1,EP05,8,97402,CAHOOT,1,1
2015,LAW ,15063673,2015-03-19 16:38:26.000,,PHONE,ASSIST PUBLIC- POLICE,FI  ,FIELD INVESTIGATION,6633.0,6633.0,14014,1,1,EP01,5,97401,4E61  ,4,4
2015,LAW ,15063674,2015-03-19 16:41:52.000,1504714,PHONE,THEFT,ARR ,ARREST,1211.0,1562.0,13284,1,1,EP05,4,97402,3E46  ,2,2
2015,LAW ,15063675,2015-03-19 16:43:35.000,,SELF,ILLEGAL CAMPING,PCHK,PATROL CHECK,1.0,1.0,3291,1,1,EP04,6,97402,3X30  ,1,1
