yr,service,inci_id,calltime,case_id,callsource,nature,closecode,closed_as,secs_to_disp,secs_to_arrv,secs_to_close,disp,arrv,beat,priority,zip,primeunit,units_dispd,units_arrived
2014,LAW ,14198741,2014-09-01 15:32:03.000,,PHONE,VIOLATION OF CITY ORDINANCE,UTL ,UNABLE TO LOCATE,16720.0,,16722,1,0,EP06,5,97404,3V78  ,1,1
2014,LAW ,14198742,2014-09-01 15:32:31.000,1414770,PHONE,WARRANT SERVICE,ARR ,ARREST,7649.0,8930.0,20721,1,1,EP01,6,97401,3E19  ,1,1
2014,LAW ,14198746,2014-09-01 15:37:20.000,,PHONE,INFORMATION - POLICE,DIS ,DISREGARD,,,1194,0,0,EP01,5,97401,,0,0
2014,LAW ,14198751,2014-09-01 15:42:14.000,,SELF,FOLLOW UP,FUP ,FOLLOW UP INVESTIGATION,0.0,889.0,2468,1,1,EP04,P,97402,3W74  ,1,1
2014,LAW ,14198752,2014-09-01 15:43:16.000,,PHONE,DISABLED VEHICLE,PCHK,PATROL CHECK,428.0,1365.0,2338,1,1,EP01,3,97408,2E21  ,2,2
2014,LAW ,14198753,2014-09-01 15:43:51.000,1414767,SELF,LOCATION WANTED SUBJECT,ARR ,ARREST,0.0,0.0,4001,1,1,EP05,P,97402,3V78  ,3,3
2014,LAW ,14198756,2014-09-01 15:48:35.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,1108,1,1,EP01,6,97401,1M15  ,1,1
2014,LAW ,14198758,2014-09-01 15:49:42.000,,W911,CHECK WELFARE,WELC,WELFARE CHECK DONE,26277.0,26713.0,27374,1,1,EP04,4,97405,5E47  ,2,2
2014,LAW ,14198760,2014-09-01 15:51:09.000,1414766,SELF,SEX ABUSE,REPT,REPORT TAKEN,0.0,0.0,33,1,1,EP03,P,97405,2Y19  ,1,1
2014,LAW ,14198762,2014-09-01 15:57:33.000,,E911,SUSPICIOUS SUBJECT,CIV ,CIVIL ISSUE,276.0,823.0,2730,1,1,EP03,3,97405,3E95  ,4,3
2014,LAW ,14198764,2014-09-01 16:02:23.000,,W911,DISORDERLY SUBJECT,GOA ,GONE ON ARRIVAL,1251.0,2061.0,2425,1,1,EP05,3,97402,CAHOOT,1,1
2014,LAW ,14198765,2014-09-01 16:03:58.000,,PHONE,FOUND ANIMAL,WCB ,CALLER WILL CALL BACK,,,1355,0,0,EP03,5,97403,AWO   ,0,0
2014,LAW ,14198766,2014-09-01 16:06:53.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,619,1,1,EP05,6,97402,2E11  ,1,1
2014,LAW ,14198768,2014-09-01 16:10:23.000,,PHONE,ANIMAL COMPLAINT,DIS ,DISREGARD,1601.0,,2436,1,0,EP05,3,97402,,2,0
2014,LAW ,14198771,2014-09-01 16:13:40.000,,PHONE,BEAT INFORMATION,PCHK,PATROL CHECK,658.0,867.0,1455,1,1,EP05,5,97402,3V73  ,1,1
2014,LAW ,14198781,2014-09-01 16:23:59.000,,SELF,TRAFFIC STOP,WARN,WARNING,0.0,0.0,925,1,1,EP01,6,97401,2E21  ,1,1
2014,LAW ,14198783,2014-09-01 16:26:39.000,,PHONE,HIT AND RUN,INFO,INFORMATION ONLY,,,491,0,0,EP01,3,97408,,0,0
2014,LAW ,14198787,2014-09-01 16:31:55.000,,PHONE,ASSIST PUBLIC- POLICE,ASST,ASSISTED,1753.0,2191.0,4298,1,1,EP04,5,97402,CAHOOT,1,1
2014,LAW ,14198788,2014-09-01 16:33:20.000,,SELF,FOLLOW UP,FUP ,FOLLOW UP INVESTIGATION,0.0,0.0,1903,1,1,EP02,P,97401,1F66  ,1,1
2014,LAW ,14198792,2014-09-01 16:38:19.000,,W911,DISPUTE FAMILY,ADVI,ADVISED,98.0,539.0,3587,1,1,EP04,3,97402,3E56  ,4,3
2014,LAW ,14198796,2014-09-01 16:40:03.000,1414772,PHONE,SHOPLIFT 3050 PROGRAM,ARR ,ARREST,3907.0,4092.0,19310,1,1,EP01,3,97401,4E11  ,2,2
2014,LAW ,14198802,2014-09-01 16:45:04.000,1414771,PHONE,UNAUTHORIZED USE OF VEHICLE,REPT,REPORT TAKEN,3482.0,3682.0,8626,1,1,EP02,3,97401,4E24  ,1,1
2014,LAW ,14198805,2014-09-01 16:48:46.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,999,1,1,EP02,6,97401,1M16  ,1,1
2014,LAW ,14198810,2014-09-01 16:59:43.000,,E911,BEAT INFORMATION,INFO,INFORMATION ONLY,966.0,,969,1,0,EP05,5,97402,3V78  ,1,1
2014,LAW ,14198814,2014-09-01 17:04:48.000,,SELF,PERSON STOP,ADVI,ADVISED,0.0,0.0,655,1,1,EP05,6,97402,3V78  ,1,1
2014,LAW ,14198815,2014-09-01 17:04:57.000,,PHONE,SUBJECT DOWN,DIS ,DISREGARD,,,3117,0,0,EP05,1,97402,,0,0
2014,LAW ,14198816,2014-09-01 17:05:20.000,,W911,MOTOR VEH ACC NO INJURY,INFO,INFORMATION ONLY,481.0,793.0,3457,1,1,EP05,1,97402,3W74  ,1,1
2014,LAW ,14198818,2014-09-01 17:06:26.000,,PHONE,ASSIST PUBLIC- POLICE,ASST,ASSISTED,3045.0,3935.0,7400,1,1,EP04,5,97402,CAHOOT,1,1
2014,LAW ,14198820,2014-09-01 17:09:42.000,,W911,ATTEMPT TO LOCATE,REL ,REFERRED TO OTHER AGENCY,,,1198,0,0,EP02,3,97401,,0,0
2014,LAW ,14198822,2014-09-01 17:13:35.000,,PHONE,HIT AND RUN,INFO,INFORMATION ONLY,,,85,0,0,EP05,9,97402,,0,0
2014,LAW ,14198823,2014-09-01 17:14:28.000,,SELF,BURGLARY,FUP ,FOLLOW UP INVESTIGATION,1.0,1.0,14355,1,1,EP02,P,97401,3E95  ,3,3
2014,LAW ,14198829,2014-09-01 17:22:43.000,,W911,CHECK WELFARE,GOA ,GONE ON ARRIVAL,1455.0,2124.0,2329,1,1,EP04,3,97405,CAHOOT,1,1
2014,LAW ,14198831,2014-09-01 17:24:40.000,,SELF,PERSON STOP,ADVI,ADVISED,0.0,0.0,196,1,1,EP05,6,97402,3V78  ,1,1
2014,LAW ,14198835,2014-09-01 17:30:03.000,1414768,SELF,PERSON STOP,CLC ,CITED IN LIEU OF CUSTODY,0.0,0.0,3706,1,1,EP05,6,97402,3X31  ,2,2
2014,LAW ,14198836,2014-09-01 17:30:21.000,,SELF,TRAFFIC STOP,FI  ,FIELD INVESTIGATION,0.0,0.0,759,1,1,EP01,6,97401,3E38  ,1,1
2014,LAW ,14198838,2014-09-01 17:32:30.000,,W911,DISPUTE,ADVI,ADVISED,96.0,370.0,1593,1,1,EP05,3,97402,3E56  ,4,4
2014,LAW ,14198839,2014-09-01 17:32:56.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,457,1,1,EP02,6,97401,1M10  ,1,1
2014,LAW ,14198844,2014-09-01 17:39:59.000,,PHONE,THEFT,WCB ,CALLER WILL CALL BACK,,,18673,0,0,EP04,4,97402,,0,0
2014,LAW ,14198848,2014-09-01 17:44:19.000,,SELF,TRAFFIC STOP,ADVI,ADVISED,0.0,0.0,1382,1,1,EP04,6,97405,3V73  ,1,1
2014,LAW ,14198854,2014-09-01 17:49:55.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,1.0,1.0,410,1,1,EP01,6,97401,1M10  ,1,1
2014,LAW ,14198855,2014-09-01 17:49:58.000,,PHONE,ASSIST OUTSIDE AGENCY,ASST,ASSISTED,245.0,1181.0,2983,1,1,EP01,3,97401,4E31  ,2,2
2014,LAW ,14198856,2014-09-01 17:52:22.000,1414769,SELF,FOUND PROPERTY,REPT,REPORT TAKEN,1.0,1.0,70,1,1,EP01,P,97401,4X41  ,1,1
2014,LAW ,14198857,2014-09-01 18:00:10.000,,E911,ILLEGAL MOTORCYCLE,ADVI,ADVISED,352.0,,757,1,0,EP05,5,97402,3V78  ,1,1
2014,LAW ,14198858,2014-09-01 18:01:21.000,,PHONE,CHECK WELFARE,GOA ,GONE ON ARRIVAL,136.0,422.0,1572,1,1,EP03,5,97405,CAHOOT,1,1
2014,LAW ,14198864,2014-09-01 18:13:17.000,1414823,PHONE,THEFT OF BICYCLE,REPT,REPORT TAKEN,,,160,0,0,EP03,9,97403,,0,0
2014,LAW ,14198865,2014-09-01 18:15:40.000,1414773,SELF,PERSON STOP,ARR ,ARREST,0.0,0.0,6507,1,1,EP04,6,97405,3V73  ,2,2
2014,LAW ,14198866,2014-09-01 18:16:56.000,,E911,ASSAULT,RSLV,RESOLVED,2707.0,3193.0,5622,1,1,EP05,3,97404,3E56  ,1,1
2014,LAW ,14198867,2014-09-01 18:18:00.000,,PHONE,CHECK WELFARE,DIS ,DISREGARD,,,334,0,0,EP01,3,97401,,0,0
2014,LAW ,14198868,2014-09-01 18:20:57.000,,E911,DISPUTE,RSLV,RESOLVED,127.0,387.0,2199,1,1,EP05,3,97402,4V77  ,3,3
2014,LAW ,14198873,2014-09-01 18:33:38.000,1414775,PHONE,MOTOR VEH ACC NO INJURY,REPT,REPORT TAKEN,662.0,997.0,17547,1,1,EP05,1,97402,4E63  ,4,3
2014,LAW ,14198875,2014-09-01 18:35:27.000,,PHONE,LOUD NOISE,DDIS,DISREGARDED BY DISPATCH,,,8335,0,0,EP04,5,97405,,0,0
2014,LAW ,14198880,2014-09-01 18:45:53.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,591,1,1,EP05,6,97402,1M16  ,2,2
2014,LAW ,14198881,2014-09-01 18:45:54.000,,W911,DISPUTE,RSLV,RESOLVED,193.0,748.0,2026,1,1,EP05,3,97402,3E49  ,6,6
2014,LAW ,14198884,2014-09-01 18:51:13.000,,PHONE,SUSPICIOUS VEHICLE,ASST,ASSISTED,2137.0,2388.0,3368,1,1,EP02,3,97401,3W74  ,1,1
2014,LAW ,14198885,2014-09-01 18:52:57.000,,PHONE,DISORDERLY SUBJECT,ADVI,ADVISED,3880.0,,3888,1,0,EP05,3,97402,3E49  ,1,1
2014,LAW ,14198888,2014-09-01 18:58:20.000,,E911,FOLLOW UP,WCB ,CALLER WILL CALL BACK,,,10704,0,0,EP05,4,97402,,0,0
2014,LAW ,14198891,2014-09-01 19:00:05.000,,PHONE,SUSPICIOUS CONDITIONS,INFO,INFORMATION ONLY,1003.0,,1009,1,0,EP02,3,97401,4E24  ,1,1
2014,LAW ,14198895,2014-09-01 19:02:12.000,,PHONE,SUICIDAL SUBJECT,UTL ,UNABLE TO LOCATE,62.0,515.0,1590,1,1,EP02,1,97401,4E31  ,3,3
2014,LAW ,14198898,2014-09-01 19:03:34.000,,PHONE,BURGLARY,INFO,INFORMATION ONLY,1007.0,1579.0,2216,1,1,EP04,3,97402,3E49  ,2,2
2014,LAW ,14198901,2014-09-01 19:09:49.000,,W911,HARASSMENT,ADVI,ADVISED,1165.0,1350.0,3913,1,1,EP04,3,97402,3E45  ,2,2
2014,LAW ,14198908,2014-09-01 19:19:02.000,1414774,SELF,WARRANT SERVICE,ARR ,ARREST,0.0,0.0,5569,1,1,EP05,6,97402,4V77  ,2,1
2014,LAW ,14198917,2014-09-01 19:28:37.000,,PHONE,CRIMINAL TRESPASS,DIS ,DISREGARD,,,2328,0,0,EP05,3,97402,,0,0
2014,LAW ,14198921,2014-09-01 19:30:55.000,,SELF,ACCIDENT BIKE,ASST,ASSISTED,0.0,0.0,239,1,1,EP02,1,97401,3E38  ,1,1
2014,LAW ,14198922,2014-09-01 19:31:31.000,,PHONE,DISPUTE,PCHK,PATROL CHECK,407.0,648.0,1594,1,1,EP05,3,97402,4E24  ,2,2
2014,LAW ,14198924,2014-09-01 19:32:28.000,,W911,BEAT INFORMATION,INFO,INFORMATION ONLY,,,89,0,0,EP04,5,97405,,0,0
2014,LAW ,14198926,2014-09-01 19:36:02.000,,SELF,TRAFFIC STOP,ASST,ASSISTED,0.0,0.0,947,1,1,EP02,6,97401,4X41  ,1,1
2014,LAW ,14198927,2014-09-01 19:36:45.000,,E911,TRAFFIC HAZARD,GOA ,GONE ON ARRIVAL,1794.0,1794.0,1798,1,1,EP04,3,97402,4E24  ,1,1
